text,label
จัดไปค่ะ,0
อ๋อย!!!หิว,2
น่าอ่าน,0
นานๆทีไม่เสียหาย555,1
ไม่เคยได้เลย T^T,1
เหลือๆ,2
ค่อยกินวันหลัง,0
ต้องไปกินเนอะ😂,0
⚙️ติดบุหรี่ไฟฟ้าสัสๆ,1
ทำไมกุซื้อแพง 😂😂😂,1
ต้อวไปกินสะแล้ว,0
เมิงๆๆ,2
กินมะ,2
รู้แต่ว่าเบียร์ยูกากสัสๆเลยครับ,1
หุ้ววว อยากกินเบยย,0
ว้าว,0
ตังไหนหละพ่อ,1
ลงชื่อด้วยคนคับ,0
ป่ะบิ๊กซี,0
ทำงานละ,2
จัดๆ2ทุ่มบ่,0
ไม่ทัน 1000 สิทธิ์เป็นแน่,1
ป๋องดำหรอ,2
กูไม่รู้5555,0
เห้อ,2
กินชีส,0
เลี้ยงรึ,2
รอยุ,0
เลิกใช้โซฟีจย้าาาา,1
สงสัยต้องถ่ายรูปลงโซเชียล,1
อยากกินนักเก็ต,0
หมูเหนื่อย,2
รสชาติเค็มอะปรับหน่อยนะคะ,1
29กี่โมง,2
หาเช่าชุดแพงกว่าค่าแดกไปอีก,1
จ้าอ.🙏🙏,2
อ้วนแล้ววว55555,0
ชอบพี่โอ๊ต ❤️😘,0
เบื่อโฆษณาเบียร์ช้างบน bts,1
ฟิ้วววว,0
ไม่อ่ะ จะไปลองแจ่วหลังมอ,1
สุดคับป๋าา สู้ๆๆ,0
เปิดกะลาออกมาสักทีเหอะ,1
5555 แดกลีโอละขี้แตก มีช้างป่ะ,1
299นี่ต่อคนเหรอ,0
บาบีก้อนนนนนนนนนนพยาธิว่ะมึง,1
ขอบคุณ พวกพี่ๆครับ,0
ซื้อผัก2ก้อน,0
ควันระเบิดหรือบุหรี่ไฟฟ้าวะ,1
ถึง,0
อยากกินว่ะเพิ่ล,0
แง่มๆๆ,2
ก็บอกว่าเมาฟูลมูน เอ๊ะ!,1
วันนี้ที่ได้สีไม่ใช่แบบนี้อ่ะก้อน,1
ป๋าเตยยย,2
ตอบมา,2
เด่วนะ กานิเย่หลอกหลอนมาก,1
พลีสสส🙏,2
เลี้ยงงะ,2
ไม่ชอบกินอันนี้อ่ะ,1
ไปกันนนนนวันนี้ๆ,0
จุ๊บบบบบ,2
ทำไมแม็คโดนัลด์มันแพงจัง,1
แดกร้านอื่น จบ555,1
อยากกินอ่อเทอววว,0
โชว์ดีซีมีไรดี ไม่เคยไป,1
แพงไป ซื้อ 3ce ได้เลยอ่ะ,1
เออๆ,2
เลยปะล่ะ,2
ทำไมเซโฟร่าไม่ส่งของสักที,1
เข้าไป..หมดแล้ว😭😭😭,1
เธออออออออ,0
ไปไหมเรา,2
จะรีบเสือกอย่างไว รอแปรบบบ,1
ไปจัดดดด,0
เท่าไร,2
น่ากินๆ,0
ทะเล? เห็นหมูไปครึ่งถาดละคะ,1
พรุ่งนี้เลยดีไหม,0
อร่อยอ่ะ,0
เน่เน้อยากกิง,0
แต่พี่ไดเมาสปาย กากมาก,1
อย่างปั่น55555,0
กอน อะไร,2
ชัดเจนมาก เอาเปรียบผู้บริโภคสุดๆ,1
ต่อไปนี้ไม่กล้ากินบาบิก้อนละ😣,1
เย้ ๆ ^^,2
จัดสิจ้ะะะ,2
ต้องดักตีแม่มไอพวกนี้,1
โด่,2
กินเรดแล้วหนักหัวสัสๆ,1
โอเคครับ,2
อีกหน่อยแม่งก็กินช้าง,1
ต้องไปตำ,0
ว่างหรอออ,2
พาไปหน่อยจิคะ,0
ขอเถอะ,2
รอนะ❤,0
วันนี้ไม่ว่างคร่ะ,0
ไปมาไม่เห็นมีโปรนี้นีครับ,1
ค้นพบแล้วว่าแดก285ไม่ได้จริงๆ...,1
ฟินค่ะ,0
ไปกินช้าง,2
วันใหนดี,0
แพงไปหน่อยนะครับ,1
อ้วน,2
อ่านใหม่,2
ตำเธอหรา,2
บาบีก้อนของชั้นนน ม่าย,1
ขอบคุณนะ,0
เอิ่ม ค่าชุดแพงกว่าส่วนลด 555,1
หูยย,2
😍,0
ไม่อร่อย..,1
แหะๆ 😝,2
หรูอะไรแค่ยาริสคันไม่กี่แสน,1
วันหลังๆ,2
จัดชุดนี้เลย,0
จัดกัน,0
ค้าบ,2
ยังอิ่มอยุ่ดูไปก็ไม่อยาก555,1
โกงงงงงงงงงงงงงงงงงงง,1
อยากไปนะ,0
เสาร์มะ,0
เช่าชุดอีดอกกกก,1
ไม่น่าอิ่ม,1
จะไม่กินบาบิก้อน กลัวอ่ะ,1
แนท คับผม,2
หาตังแพพ,2
ลงชื่อตรงไหนครับ,0
วันไหนน,0
ผมรอ,2
🎉🎉,0
ออเจ้าขอป๋องดำด้วย,0
😞😞😞😞😞😞,1
ไปปปปปป,0
อยากกินนนนนกับเตง,0
เมื่อไรดี,2
ไปจิงนะ,2
น่ารักง่าาา,0
<<<รักแฟน,2
ทีเด็ดครับบอกเลย,0
บวกครับ,0
คิดถึงนะ,2
จัดๆๆเรย,0
เสียดาย Esteeeeeee T T,1
ไอสัด,1
ซ้อเต้555,2
MG3 55,2
สปายกินละคอแห้งตอนเช้า😭,1
เสาร์นี้มา,0
แพง555,1
มาสด้ากินน้ำมัน,1
มันเกี่ยวกับภาษีที่จะหดหายล้วนๆ,1
น้องหิววว,2
พนงบาบีก้อนวันนี้เมายาหรอ,1
ไทยแม้งหัวโบราณ,1
พี่ไฝเลี้ยงหนูไป,0
ตอบเลยว่าไม่ 55,1
จัดสิรอไร,0
แดกเบียร์เหล้ากูเอียนสปาย,1
ชอบมาสด้าสาม,0
ทำไมให้น้องโฆษณาผ้าอนามัย.....,1
หือออ,2
น่าสนใจจ,0
บ่าไป,2
ก็ดีน555,2
กฏมีไว้แหก,1
